Entity,Code,Year,"Prevalence of hypertension among adults aged 30-79 years, age-standardized - Sex: male"
Tonga,TON,2019,39.6
Trinidad and Tobago,TTO,2019,43.2
Tunisia,TUN,2019,34.5
Turkey,TUR,2019,30.8
Turkmenistan,TKM,2019,37.6
Tuvalu,TUV,2019,49.2
Uganda,UGA,2019,30.9
Ukraine,UKR,2019,44.5
United Arab Emirates,ARE,2019,43.9
United Kingdom,GBR,2019,29.9
United States of America,USA,2019,34.1
Uruguay,URY,2019,46
Uzbekistan,UZB,2019,46.7
Vanuatu,VUT,2019,37.4
Venezuela,VEN,2019,39.7
Vietnam,VNM,2019,32.9
Western Asia and Northern Africa (UN SDG),,2019,36.8
Western Pacific (WHO),,2019,31.6
World,OWID_WRL,2019,34.5
Yemen,YEM,2019,29.1
Zambia,ZMB,2019,30.3
Zimbabwe,ZWE,2019,36.9
